MMSI;Name;Call;Type
310793000;310793000;UNK;N/A
377716000;377716000;UNK;N/A
273277640;273277640;UNK;N/A
636016143;636016143;UNK;N/A
567648000;567648000;UNK;N/A
227893870;SODEBO-ULTIM 3;FLDV;Sailing
261182060;261182060;UNK;N/A
538003681;538003681;UNK;N/A
273421910;273421910;UNK;N/A
370475000;NINE FRONTIER;3ESZ5;Cargo
273259970;273259970;UNK;N/A
213080000;213080000;UNK;N/A
231541000;231541000;UNK;N/A
366610000;366610000;UNK;N/A
667002291;CETUS;9LS1994;Tanker
352005482;352005482;UNK;N/A
255006154;255006154;UNK;N/A
436000242;436000242;UNK;N/A
255808404;255808404;UNK;N/A
413433740;413433740;UNK;N/A
304091001;304091001;UNK;N/A
538004190;538004190;UNK;N/A
273340060;273340060;UNK;N/A
376465000;376465000;UNK;N/A
563243000;563243000;UNK;N/A
352002500;352002500;UNK;N/A
576624000;576624000;UNK;N/A
357065000;357065000;UNK;N/A
563279400;563279400;UNK;N/A
405000291;405000291;UNK;N/A
463065101;463065101;UNK;N/A
563275400;563275400;UNK;N/A
563286700;COSCO PRIDE;9V7760;Cargo
503400100;503400100;UNK;N/A
352004556;352004556;UNK;N/A
563299100;YANGZE 18;9V8183;Cargo
232014439;SILVER GIRL II;MCTO6;Sailing
412786000;412786000;UNK;N/A
413021240;413021240;UNK;N/A
477180500;XYG HONG KONG;VRXC4;Cargo
671029100;GOLDEN BAY;5VFS2;Cargo
636025481;636025481;UNK;N/A
538010933;538010933;UNK;N/A
352006046;352006046;UNK;N/A
470316000;470316000;UNK;N/A
620270000;620270000;UNK;N/A
563292500;563292500;UNK;N/A
471089000;471089000;UNK;N/A
403254000;403254000;UNK;N/A
470145000;470145000;UNK;N/A
376084000;376084000;UNK;N/A
232040955;JLD LAETITIA;MLCC4;HSC
273252150;273252150;UNK;N/A
352003265;352003265;UNK;N/A
636024104;JISU GLORY;5LQZ7;Cargo
413380220;413380220;UNK;N/A
413705540;413705540;UNK;N/A
413301880;413301880;UNK;N/A
341404002;GUNSAN;V4DF7;Cargo
352005331;352005331;UNK;N/A
419001911;419001911;UNK;N/A
305010400;305010400;UNK;N/A
636021696;636021696;UNK;N/A
412330850;412330850;UNK;N/A
563271200;THERESA TIGA;9VET3;Tanker
538011596;538011596;UNK;N/A
725000755;725000755;UNK;N/A
503779000;503779000;UNK;N/A
211211160;GERMAN WARSHIP M1061;DRET;Military
677093742;677093742;UNK;N/A
538010097;538010097;UNK;N/A
259014000;KNM OTRA;LBDA;Military
563276100;563276100;UNK;N/A
629009776;629009776;UNK;N/A
247120900;247120900;UNK;N/A
273276100;273276100;UNK;N/A
269245010;269245010;UNK;N/A
503414000;503414000;UNK;N/A
525108016;525108016;UNK;N/A
304333000;304333000;UNK;N/A
620991405;620991405;UNK;N/A
413304980;413304980;UNK;N/A
471019000;471019000;UNK;N/A
511101854;511101854;UNK;N/A
305880006;305880006;UNK;N/A
412206430;412206430;UNK;N/A
228484700;TSM BERGEN;FNZU;Tug
477961100;477961100;UNK;N/A
232063165;232063165;UNK;N/A
224333000;224333000;UNK;N/A
273271720;273271720;UNK;N/A
413254170;413254170;UNK;N/A
538011779;LOSONE TOPIC;V7A3448;Cargo
470958000;470958000;UNK;N/A
511100223;511100223;UNK;N/A
525901876;DANAPUTRI 1;YDFK4;Tanker
373082000;DONGHAE STAR;3FNX4;Cargo
414292000;414292000;UNK;N/A
414278000;414278000;UNK;N/A
273618550;VITYAZ;UBHY8;Tug
273390010;273390010;UNK;N/A
636025450;636025450;UNK;N/A
572206220;572206220;UNK;N/A
224104820;PADRE JOAQUIN;EAMW;Fishing
232058247;232058247;UNK;N/A
211248350;211248350;UNK;N/A
511101275;511101275;UNK;N/A
305014400;305014400;UNK;N/A
572560220;572560220;UNK;N/A
374355000;374355000;UNK;N/A
232055872;232055872;UNK;N/A
636093326;636093326;UNK;N/A
305005300;WANHEIM;V2B2005;Cargo
470100000;470100000;UNK;N/A
273374360;273374360;UNK;N/A
241968000;241968000;UNK;N/A
436000322;436000322;UNK;N/A
636024976;636024976;UNK;N/A
470378000;470378000;UNK;N/A
470033000;470033000;UNK;N/A
431373000;431373000;UNK;N/A
636024559;636024559;UNK;N/A
563300100;ESL SEATTLE;9V3091;Cargo
538004388;538004388;UNK;N/A
